"Año";"Periodo";"Híbridos, eléctricos y otros";"Gasolina";"Diésel"
"2017";"Septiembre";"5.518";"36.064";"41.709"
"2017";"Octubre";"6.799";"49.381";"43.411"
"2017";"Noviembre";"6.836";"50.882";"46.512"
"2017";"Diciembre";"6.464";"51.316";"45.164"
"2018";"Enero";"7.567";"51.644";"42.450"
"2018";"Febrero";"6.974";"61.346";"42.155"
"2018";"Marzo";"7.313";"74.806";"46.061"
"2018";"Abril";"8.457";"65.282";"42.694"
"2018";"Mayo";"9.690";"77.962";"47.873"
"2018";"Junio";"11.653";"80.247";"50.497"
"2018";"Julio";"11.038";"72.916";"47.228"
"2018";"Agosto";"9.180";"58.187";"40.325"
"2018";"Septiembre";"7.355";"36.381";"25.393"
"2018";"Octubre";"9.761";"49.675";"28.975"
"2018";"Noviembre";"9.451";"53.806";"27.806"
"2018";"Diciembre";"13.918";"57.279";"32.021"
"2019";"Enero";"10.355";"56.155";"27.028"
"2019";"Febrero";"10.008";"60.612";"30.073"
"2019";"Marzo";"12.180";"77.439";"33.045"
"2019";"Abril";"11.515";"75.344";"32.558"
"2019";"Mayo";"14.950";"75.068";"35.607"
"2019";"Junio";"13.999";"82.728";"33.792"
"2019";"Julio";"14.292";"71.977";"30.417"
"2019";"Agosto";"10.202";"44.065";"20.223"
"2019";"Septiembre";"11.890";"46.779";"23.082"
"2019";"Octubre";"13.474";"52.757";"27.730"
"2019";"Noviembre";"14.559";"52.157";"26.442"
"2019";"Diciembre";"13.918";"61.109";"30.826"
"2020";"Enero";"15.913";"46.609";"23.921"
"2020";"Febrero";"15.571";"52.591";"26.458"
"2020";"Marzo";"7.521";"20.782";"9.341"
"2020";"Abril";"465";"2.486";"1.212"
"2020";"Mayo";"6.290";"17.328";"10.719"
"2020";"Junio";"14.996";"43.383";"24.272"
"2020";"Julio";"23.924";"62.953";"31.052"
"2020";"Agosto";"13.830";"34.711";"18.384"
"2020";"Septiembre";"17.380";"32.783";"20.566"